gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
TEX201309260,TEX,3,0,0,0,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,5,washr001,value,35,32,6,12,1,0,1,6,1,1,0,1,0,6,1,0,2,0,1,27,0,43,13,0,1,0,5,2,3,1,5,0,1,0,0,0,0,0,0,27,12,4,1,0,0,1,0,0,kinsi001,andre001,riosa002,belta001,piera001,morem001,gentc001,murpd005,martl004,garzm001,piera001,morem001,kinsi001,belta001,andre001,gentc001,martl004,riosa002,murpd005,20130926,0,ARL02,h,ANA,1,0,0,regular,y,y
ARI201309270,WAS,0,0,0,1,4,0,0,3,0,,,,,,,,,,,,,,,,,,,,5,johnd105,value,40,35,8,9,3,0,2,8,0,0,1,4,0,10,1,1,0,0,0,27,0,37,9,2,0,0,4,4,2,0,5,1,0,0,0,0,0,0,0,27,11,0,2,0,0,0,0,0,kobej001,zimmr001,wertj001,harpb003,desmi001,ramow001,moort002,renda001,stras001,stras001,ramow001,moort002,renda001,zimmr001,desmi001,kobej001,harpb003,wertj001,,20130927,0,PHO01,v,ARI,1,0,0,regular,y,y
ARI201309270,ARI,0,0,2,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,6,gibsk001,value,37,34,4,9,2,0,0,3,0,0,1,2,0,5,0,0,2,0,0,27,0,40,9,3,0,2,8,8,4,0,10,1,1,0,0,0,1,1,0,27,10,0,0,0,0,1,1,1,eatoa002,parrg001,goldp001,pradm001,hilla001,montm001,polla001,gregd001,corbp001,corbp001,montm001,goldp001,hilla001,pradm001,gregd001,eatoa002,polla001,parrg001,,20130927,0,PHO01,h,WAS,0,1,0,regular,y,y
ATL201309270,PHI,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,sandr001,value,28,26,0,2,0,0,0,0,0,0,0,2,0,9,0,1,2,0,0,24,0,27,3,0,0,1,1,1,0,0,13,0,0,0,0,0,0,0,0,24,7,0,0,0,0,0,0,0,hernc005,rollj001,utlec001,ruizc001,browd004,ruf-d001,aschc001,bernr001,lee-c003,lee-c003,ruizc001,ruf-d001,utlec001,aschc001,rollj001,browd004,hernc005,bernr001,,20130927,0,ATL02,v,ATL,0,1,0,regular,y,y
ATL201309270,ATL,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,2,gonzf801,value,27,27,1,3,0,0,1,1,0,0,0,0,0,13,0,0,0,0,0,27,0,28,2,0,0,0,0,0,2,0,9,0,0,0,0,0,0,1,0,27,10,0,2,0,0,0,0,1,heywj001,johnr008,uptoj001,freef001,gatte001,johnc003,simma001,uggld001,medlk001,medlk001,gatte001,freef001,uggld001,johnc003,simma001,johnr008,heywj001,uptoj001,,20130927,0,ATL02,h,PHI,1,0,0,regular,y,y
BAL201309270,BOS,5,0,3,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,6,farrj001,value,45,40,12,16,2,1,3,12,0,0,0,5,0,6,0,0,2,0,0,27,0,35,8,0,0,2,3,3,1,0,6,0,0,0,0,0,0,0,0,27,8,0,1,0,0,0,0,0,ellsj001,pedrd001,ortid001,napom001,navad002,gomej001,saltj001,drews001,middw001,buchc001,saltj001,napom001,pedrd001,middw001,drews001,gomej001,ellsj001,navad002,ortid001,20130927,0,BAL12,v,BAL,1,0,0,regular,y,y
BAL201309270,BAL,0,0,2,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,5,showb801,value,35,34,3,8,0,0,2,3,0,0,0,1,0,6,0,0,1,0,0,27,0,45,16,2,1,3,12,12,5,0,6,0,0,0,0,0,0,0,0,27,14,0,2,0,0,0,0,0,robeb003,markn001,jonea003,davic003,wietm001,hardj003,mclon001,schoj001,flahr001,felds001,wietm001,davic003,schoj001,flahr001,hardj003,mclon001,jonea003,markn001,robeb003,20130927,0,BAL12,h,BOS,0,1,0,regular,y,y
CHA201309270,KCA,3,0,0,1,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,7,yoste001,value,40,37,6,14,4,0,0,6,0,0,1,2,0,6,2,1,2,0,0,27,0,31,4,0,1,1,1,1,1,0,12,0,0,0,0,0,0,0,0,27,5,0,1,0,0,0,0,0,gorda001,bonie001,hosme001,butlb003,peres002,maxwj002,cainl001,carrj001,escoa003,shiej002,peres002,hosme001,bonie001,carrj001,escoa003,gorda001,cainl001,maxwj002,butlb003,20130927,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA201309270,CHA,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,3,ventr001,value,31,30,1,4,0,1,1,1,0,0,0,1,0,12,0,0,1,0,0,27,0,40,14,4,0,0,6,6,2,0,6,1,1,0,0,0,2,1,0,27,13,0,3,0,0,1,2,1,dankj002,beckg001,ramia003,dunna001,konep001,garca003,vicid001,semim001,phegj001,salec001,phegj001,konep001,beckg001,semim001,ramia003,vicid001,dankj002,garca003,dunna001,20130927,0,CHI12,h,KCA,0,1,0,regular,y,y
CIN201309270,PIT,0,0,2,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,8,hurdc001,value,39,32,4,6,1,0,1,4,0,0,2,5,0,9,1,0,1,0,0,27,0,32,6,0,0,1,1,1,1,0,6,0,0,0,0,0,0,0,0,27,14,0,2,0,0,0,0,0,marts002,walkn001,mccua001,mornj001,byrdm001,alvap001,martr004,barmc001,burna001,burna001,martr004,mornj001,walkn001,alvap001,barmc001,marts002,mccua001,byrdm001,,20130927,0,CIN09,v,CIN,1,0,0,regular,y,y
